39;18;24;28;3
18;37;46;43;6
62;37;7;41;13
70;77;86;36;33
25;60;16;44;6
78;40;53;3;25
71;53;75;8;30
17;88;23;22;44
14;9;69;31;8
34;49;39;34;34
48;9;92;10;6
43;64;66;15;9
30;22;17;28;30
27;98;33;31;43
60;73;17;6;46
79;46;26;23;20
53;48;91;1;5
33;37;5;18;12
32;60;80;29;48
40;87;30;4;15
93;49;32;21;8
85;27;6;15;5
4;66;21;41;37
54;5;79;40;25
60;49;72;16;15
21;11;95;17;10
93;58;38;49;44
65;61;68;47;17
97;3;53;50;12
11;91;62;41;46
40;95;12;46;20
48;4;68;37;32
37;11;21;44;37
100;15;70;17;21
56;24;39;6;11
18;79;99;18;14
40;6;5;44;5
65;11;98;6;43
49;46;51;42;27
44;32;93;3;2
63;95;1;10;28
89;18;88;27;19
3;34;50;7;32
96;57;71;23;43
54;29;13;49;15
93;56;77;46;22
90;55;73;19;29
89;10;90;22;16
96;14;14;9;20
76;29;95;10;22
48;55;31;23;31
81;18;76;42;20
20;54;44;18;18
92;68;81;35;23
69;19;47;35;43
75;79;38;19;6
44;60;93;15;13
76;80;78;22;35
62;76;83;10;11
14;89;35;33;26
72;53;63;29;10
65;65;26;13;47
53;23;19;37;31
7;45;87;26;22
36;64;45;46;24
6;60;1;30;3
59;42;21;37;7
94;21;94;37;24
74;81;75;14;44
59;69;22;19;9
4;88;41;8;26
12;17;90;15;32
73;35;96;8;50
49;27;78;43;4
86;46;41;24;10
46;49;31;1;25
42;12;62;42;46
7;89;68;26;16
10;30;33;45;26
12;99;58;29;37
41;19;3;36;26
53;89;82;29;8
23;70;82;16;8
87;34;98;49;42
77;72;52;42;24
24;25;87;22;7
94;54;94;21;10
88;94;66;12;10
97;72;65;41;16
100;1;94;15;49
58;86;75;1;23
89;5;27;27;44
84;80;56;41;33
43;34;25;1;23
96;24;54;5;9
7;70;54;48;50
68;8;24;2;18
61;81;86;44;18
82;78;64;41;36
9;68;81;32;47
33;56;31;38;45
87;16;28;21;43
75;98;35;8;1
15;59;22;6;18
40;41;91;10;5
11;65;65;13;12
77;62;80;30;41
100;33;18;2;24
74;57;50;27;46
97;49;90;12;30
60;90;31;15;1
13;25;14;18;48
68;95;39;49;20
37;39;60;9;2
66;30;78;8;2
27;81;81;47;3
49;39;44;43;32
22;37;64;20;32
2;70;60;9;6
67;27;10;34;11
24;21;49;37;28
29;90;27;37;27
66;38;20;21;48
39;56;79;8;22
11;28;71;27;49
16;66;11;19;3
40;38;93;15;32
93;55;9;19;37
7;61;4;27;10
82;22;31;19;17
6;91;91;38;27
52;60;64;36;6
24;58;20;11;5
96;54;13;33;24
23;14;81;23;22
96;67;49;3;14
2;68;77;40;31
50;65;35;4;28
73;98;39;6;3
91;34;77;15;20
99;13;55;48;10
81;87;2;9;1
32;61;37;37;27
89;100;100;2;3
11;95;62;36;11
36;99;59;8;1
90;36;23;30;5
77;89;46;44;19
7;68;98;29;43
7;45;99;8;40
52;6;86;43;41
100;74;57;10;46
90;27;1;13;38
42;17;75;49;48
66;42;91;17;41
6;27;50;31;24
9;92;73;27;48
50;85;40;9;39
81;24;35;35;16
19;61;32;5;45
22;66;60;20;2
55;75;92;1;33
8;74;55;9;8
63;53;54;46;25
94;66;9;2;37
69;9;51;41;34
57;6;30;25;45
45;99;76;27;39
96;15;18;38;40
77;4;7;42;3
73;77;98;22;22
91;26;48;1;17
26;84;61;23;39
51;83;21;46;1
75;36;90;3;50
70;10;98;44;29
80;20;72;44;46
4;88;67;28;18
2;72;5;22;46
36;85;58;45;35
49;36;32;11;33
82;14;96;49;32
56;19;84;23;5
73;16;23;1;35
20;95;9;36;23
3;52;99;36;14
99;75;81;10;32
48;53;77;26;50
17;98;93;26;44
21;21;73;46;14
68;62;14;33;46
62;53;53;27;11
65;96;41;1;13
79;52;86;24;3
22;2;81;28;21
67;82;59;18;45
12;97;83;7;42
35;35;34;12;40
91;12;45;22;9
20;69;29;16;44
9;38;10;38;3
55;34;52;29;36
16;63;49;3;26
86;54;96;40;6
80;78;22;41;21
43;67;14;10;40
66;82;54;41;32
10;48;22;6;12
34;65;69;11;37
64;54;41;18;20
87;59;92;32;35
50;63;40;48;15
90;42;77;24;39
13;23;94;28;34
63;35;1;24;6
25;68;11;15;44
100;97;80;27;49
72;50;60;17;20
92;41;88;4;42
31;46;31;49;16
30;27;28;19;1
90;100;35;40;46
82;57;54;20;24
91;67;2;15;25
39;30;6;3;33
77;100;11;17;32
82;62;30;49;49
18;23;16;44;16
79;32;16;36;35
12;81;2;44;23
22;32;42;17;25
99;65;61;35;38
60;79;77;17;20
41;36;73;9;42
59;43;63;11;35
26;4;18;27;19
54;78;83;24;26
67;16;88;38;3
95;31;82;21;26
37;52;66;32;16
57;26;83;29;44
81;89;24;45;23
14;1;13;47;10
89;11;66;17;37
65;12;22;9;31
100;10;32;28;42
20;52;95;47;14
8;12;25;23;22
36;1;88;20;39
53;25;94;13;12
48;70;87;16;32
69;25;70;47;20
86;79;92;23;46
85;9;22;13;44
100;2;27;6;12
13;59;45;45;20
97;68;24;28;49
45;40;69;18;21
36;33;27;26;22
63;46;48;25;26
86;43;67;47;40
79;60;43;5;30
86;45;67;32;38
93;22;41;15;12
14;78;83;14;26
3;83;94;23;15
4;74;2;39;10
25;37;45;35;21
5;3;86;3;38
37;32;76;43;49
6;97;79;34;22
27;21;20;42;13
59;90;59;24;2
93;2;7;25;35
31;38;9;36;34
44;36;11;17;4
3;13;94;12;6
3;3;93;22;18
82;1;61;43;40
27;84;56;11;10
27;91;70;20;6
24;44;34;48;23
59;97;19;18;34
43;69;97;17;31
53;38;19;50;33
24;36;32;1;46
60;45;29;16;25
3;57;8;5;37
88;36;13;46;19
99;28;4;2;23
78;61;33;15;38
47;61;60;23;28
99;69;75;24;4
83;93;70;18;28
75;71;18;9;26
27;36;69;24;14
41;35;68;50;45
22;85;55;25;28
68;44;16;14;41
22;59;56;8;36
86;98;71;12;20
20;1;70;49;29
85;80;33;32;16
22;26;97;28;37
8;58;15;41;44
78;23;2;1;15
68;83;43;17;12
77;30;66;40;1
90;75;62;34;33
69;33;94;21;9
23;23;12;4;8
54;27;70;20;50
70;33;3;49;37
70;4;44;19;3
88;16;2;8;42
11;9;25;27;29
41;59;89;35;26
16;52;90;2;40
18;28;67;24;37
90;9;84;32;2
96;59;17;6;38
9;22;100;47;5
69;53;24;13;5
18;57;45;10;44
23;30;73;12;5
35;28;72;8;24
73;99;58;32;37
73;74;55;41;47
58;44;10;4;34
50;25;17;50;22
44;5;42;3;31
93;52;76;46;35
98;10;10;33;10
77;29;98;49;10
49;85;46;9;42
65;39;30;35;42
91;25;75;34;5
20;73;58;50;24
65;30;53;9;13
51;93;1;1;20
26;54;28;42;38
53;24;27;18;2
61;78;40;5;16
5;82;40;42;37
22;62;94;3;26
69;87;29;31;44
25;55;92;34;44
16;33;94;40;18
55;93;78;43;26
22;14;30;14;5
74;32;87;32;3
72;73;9;12;47
86;39;72;48;23
19;47;61;8;29
12;68;66;22;45
37;17;7;8;19
26;45;74;4;14
82;2;10;39;5
62;9;83;28;4
21;8;18;8;32
69;46;98;43;23
59;19;77;21;24
44;30;96;5;50
7;6;63;26;36
15;8;56;9;39
87;25;39;6;39
44;51;35;5;17
23;64;19;10;22
89;67;74;46;34
45;87;44;28;17
66;18;71;29;10
89;37;30;26;28
32;37;39;37;34
38;21;20;46;14
47;56;64;42;48
35;100;57;15;14
49;55;93;6;13
19;92;6;20;43
60;80;20;3;20
56;83;52;7;37
92;40;21;28;18
100;14;68;3;30
37;71;27;12;1
94;65;52;7;43
80;98;5;22;27
83;77;14;17;36
61;79;13;13;30
34;10;27;13;45
64;35;10;32;26
92;19;92;42;7
44;17;53;9;28
13;94;63;36;32
65;35;6;37;27
74;83;15;36;12
83;77;60;40;16
75;83;93;25;3
4;58;95;30;6
25;89;40;13;4
51;8;44;6;31
19;93;84;23;1
93;57;97;7;20
13;34;2;45;30
80;75;81;2;7
20;58;5;9;44
84;7;26;20;28
71;44;30;20;23
65;17;43;8;9
84;70;10;26;24
86;68;12;20;24
88;14;8;46;3
31;17;79;10;20
45;35;18;37;2
60;29;59;25;50
6;47;82;50;45
83;77;65;30;29
21;21;98;14;5
45;95;31;30;17
45;85;83;5;19
77;53;72;35;5
17;50;57;49;40
35;8;92;6;16
72;66;82;31;10
16;92;71;41;21
38;51;20;41;8
8;50;83;30;28
73;35;52;12;4
10;92;32;24;9
72;89;12;38;10
50;81;18;20;24
47;7;48;50;38
80;48;10;30;50
7;58;3;18;49
24;44;68;28;25
89;90;43;15;28
60;39;2;12;50
73;11;13;35;17
31;48;60;17;47
6;56;49;48;43
73;34;74;50;39
92;45;38;48;6
35;87;95;32;49
63;95;22;43;24
68;56;79;34;9
14;78;55;39;13
40;14;47;14;7
23;89;93;48;20
30;69;81;25;47
38;73;16;43;38
42;97;84;6;27
43;16;95;44;22
93;27;11;10;1
22;67;58;34;5
30;94;77;1;11
33;52;57;43;13
25;65;21;28;6
93;41;76;40;40
5;54;30;26;37
85;35;97;2;50
3;84;92;34;46
37;67;59;43;44
75;50;24;4;19
13;88;55;18;16
62;56;82;10;27
98;82;78;48;46
31;27;24;28;1
6;83;71;43;27
9;23;78;39;28
44;21;27;30;2
20;96;9;22;20
12;89;79;7;50
10;93;85;48;6
15;43;34;49;45
14;19;51;33;7
97;59;63;38;10
28;40;86;43;27
82;14;73;31;22
37;89;10;47;24
8;54;77;3;11
90;68;26;41;47
86;85;12;42;36
18;68;50;22;24
9;41;84;28;25
75;64;24;47;41
67;23;80;28;33
34;29;17;47;41
98;54;83;41;18
